subject,release,task,availability,et_nan_values,eeg_sampling_rate_hz,et_sampling_rate_hz,eeg_channel_cnt,eeg_bad_channel_count,et_channel_cnt,eog_electrode_used_HEOG_anode,eog_electrode_used_HEOG_cathode,eog_electrode_used_VEOG_anode,eog_electrode_used_VEOG_cathode,eog_electrode_is_fallback_HEOG_anode,eog_electrode_is_fallback_HEOG_cathode,eog_electrode_is_fallback_VEOG_anode,eog_electrode_is_fallback_VEOG_cathode,et_samples_trimmed,eeg_samples_trimmed,gauss_A,gauss_mu,gauss_sigma,gauss_b,gauss_xcorr_cosine_similarity_full,gauss_xcorr_cosine_similarity_full_n,gauss_xcorr_cosine_similarity_95,gauss_xcorr_cosine_similarity_95_n,xcorr_zero,snr,xcorr_peak,xcorr_peak_idx,xcorr_peak_prominence,xcorr_second_peak,xcorr_second_peak_idx,xcorr_second_peak_prominence,shared_events,longest_gap_between_events,mean_abs_sync_error_ms,median_abs_sync_error_ms,within_1_sample,within_4_samples,regression_slope,regression_intercept,n_saccades,n_blinks,avg_saccade_duration_ms,avg_fixation_duration_ms,avg_blink_duration_ms,avg_saccade_amplitude
NDARZG861CXJ,R5,ThePresent,available,41,500.0,119.70751135404468,130,0,34,E8,E25,E21,E17,False,False,False,False,0,248,0.8863402765952025,-13.7200024632049,778.2039616682059,0.0951203969454442,0.9893424835138676,6000,0.9969590601144231,3050,1.003055341383605,9.683929465363088,1.0034711161041476,-19.0,1.139042841932502,0.4831768326020025,1217.0,0.0001385738673332,2,203.068001,6.750155989720952e-11,6.750155989720952e-11,2,2,1.0,0.0005820000000786,46,18,30.46777818546772,105.74965390208884,10011.001881566752,4.588478260869565
NDARDJ204EPU,R8,ThePresent,available,348,500.0,60.01398339684236,130,0,42,E8,E25,E21,E17,False,False,False,False,263,240,0.0275157508012269,-31.39473516679043,418.4159653827888,-0.0016750770114806,0.9508798447071066,6000,0.9954365035172827,1640,0.0287824155013656,6.379246601726188,0.0291265045004226,20.0,0.0366544952647296,0.0127675707544591,6999.0,0.0189520704012941,2,203.277998,6.461498003318411e-11,6.461498003318411e-11,0,0,1.0000000000000002,-0.0085089999999563,1532,50,31.668707505228184,220.5324618068203,265.239842230257,2.055926892950392
NDARWB903FVY,R8,ThePresent,available,234,500.0,60.02358827217405,130,0,42,E8,E25,E21,E17,False,False,False,False,345,211,0.0224408774755958,29.72590812323017,210.54481318428228,-0.0028446844809147,0.9374331224125464,6000,0.9910524685412728,825,0.0228889184589188,9.55116267810415,0.0240332302222152,22.0,0.0287136814024615,0.0047614599053942,10247.0,0.0131293368727671,2,203.287994,6.206146707654625e-11,6.206146707654625e-11,0,0,1.0,0.0083919999999612,1444,68,50.53850611377312,191.63130461551316,230.5580837178555,10.123801939058172
NDARDF560NND,R8,ThePresent,available,162,500.0,60.01886604257648,130,0,42,E8,E25,E21,E17,False,False,False,False,358,237,0.0241209637448728,27.87979886806654,223.47837311557845,-0.0032648422870289,0.9220373457120712,6000,0.997362632702601,876,0.0224594716891391,6.7048182810697865,0.0235362608193099,28.0,0.0320809240181052,0.0096000973604403,-17250.0,0.0156722279736936,2,203.286,3.2862601528904634e-11,3.2862601528904634e-11,0,2,1.0,0.0043089999999625,1472,25,30.42445709114737,238.43961508755123,317.2124612113913,1.5787160326086955
NDARJH773JTJ,R9,ThePresent,available,95,500.0,60.02337255088066,130,0,42,E8,E25,E21,E17,False,False,False,False,221,223,0.0233604206310542,76.66442474897403,239.47858287181447,-0.0049505937463405,0.9375037623872056,6000,0.9856865839850903,939,0.0211326500739488,5.779011001387064,0.0225590289016665,26.0,0.0322510857477191,0.0175284596362419,28595.0,0.0258438707770049,2,203.059995,1.709743457922741e-11,1.709743457922741e-11,0,2,1.0,0.004168999999994,1086,23,27.690726628928783,338.0887753956393,280.32837007642286,1.2703130755064456
NDARLR924YAV,R8,ThePresent,available,178,500.0,60.0236086795881,130,0,42,E8,E25,E21,E17,False,False,False,False,251,219,0.0192706014946441,7.975019511351296,360.32139090192055,-0.0012814946630968,0.9838670159023784,6000,0.9935777667623076,1413,0.0208630468595111,15.98622485529696,0.021402605480595,23.0,0.0243525971395701,0.0054635675000698,33028.0,0.0066186840531193,2,203.276004,1.1246559239452836e-10,1.1246559239452836e-10,0,2,1.0000000000000002,0.0075790000000826,1132,35,31.45269602098528,293.89944041336065,315.129741773649,1.710989399293286
NDARDV648WB5,R8,ThePresent,available,78,500.0,60.02363011379832,130,0,42,E8,E25,E21,E17,False,False,False,False,263,236,0.0155622972666115,21.422983491338453,301.60239450895887,-0.0009140820010584,0.9527412180720458,6000,0.9810511284359512,1182,0.018673452738397,12.256124448164853,0.0199175173768709,27.0,0.0210517259347613,0.0041330170792122,13778.0,0.0044399566422523,2,203.286003,1.0158540675320181e-10,1.0158540675320181e-10,2,2,0.9999999999999996,9.999999993968938e-05,1773,25,32.588815686293124,193.89814133100825,207.92058747573608,1.68580372250423
NDARGM258RZU,R8,ThePresent,available,927,500.0,60.01441025479807,130,0,42,E8,E25,E21,E17,False,False,False,False,784,226,0.0161691392345611,44.56004524768621,299.8874446522834,0.0003410030689138,0.9415547623099622,6000,0.9947691228958988,1176,0.0188466934729898,12.053073922616576,0.0194084475867473,25.0,0.02097218734195,0.0059261173166875,-43413.0,0.006547632784359,2,203.285995,7.538414337204813e-11,7.538414337204813e-11,0,2,1.0,0.0034390000000653,1368,169,32.26270297195969,232.58052090520107,194.1142545317967,2.303983918128655
NDARYE017HZA,R9,ThePresent,available,25,500.0,60.023529678357626,130,0,42,E8,E25,E21,E17,False,False,False,False,388,236,0.0161187768087785,24.2249413142322,399.9525615688848,-0.0021222914197259,0.9655819281253316,6000,0.988476901382047,1568,0.0171299633414753,12.627819942690968,0.0176384850855645,22.0,0.020422301673943,0.0026830423034617,-10551.0,0.0045709586158419,2,203.276004,8.049116928532385e-11,8.049116928532385e-11,0,2,1.0000000000000002,0.002979000000047,1452,6,37.96951221733831,237.2538043049013,105.50900275253836,4.222961432506888
NDARHD276TYX,R8,ThePresent,available,444,500.0,60.02355151391755,130,0,42,E8,E25,E21,E17,False,False,False,False,232,224,0.0101342793367807,8.728069316995883,583.4530050618293,0.0051494186641855,0.934824948878627,6000,0.9962699448909688,2287,0.0169650926124362,3.761183379597566,0.0171973114977211,24.0,0.0318488254883139,0.0170419813952021,10387.0,0.0243918099359169,2,203.286004,5.917488721252084e-11,5.917488721252084e-11,0,2,1.0,-0.0025799999999386,1326,82,53.13487217056761,218.32117362755625,239.74620723215503,4.441674208144796
