subject,release,task,availability,et_nan_values,eeg_sampling_rate_hz,et_sampling_rate_hz,eeg_channel_cnt,eeg_bad_channel_count,et_channel_cnt,eog_electrode_used_HEOG_anode,eog_electrode_used_HEOG_cathode,eog_electrode_used_VEOG_anode,eog_electrode_used_VEOG_cathode,eog_electrode_is_fallback_HEOG_anode,eog_electrode_is_fallback_HEOG_cathode,eog_electrode_is_fallback_VEOG_anode,eog_electrode_is_fallback_VEOG_cathode,et_samples_trimmed,eeg_samples_trimmed,gauss_A,gauss_mu,gauss_sigma,gauss_b,gauss_xcorr_cosine_similarity_full,gauss_xcorr_cosine_similarity_full_n,gauss_xcorr_cosine_similarity_95,gauss_xcorr_cosine_similarity_95_n,xcorr_zero,snr,xcorr_peak,xcorr_peak_idx,xcorr_peak_prominence,xcorr_second_peak,xcorr_second_peak_idx,xcorr_second_peak_prominence,shared_events,longest_gap_between_events,mean_abs_sync_error_ms,median_abs_sync_error_ms,within_1_sample,within_4_samples,regression_slope,regression_intercept,n_saccades,n_blinks,avg_saccade_duration_ms,avg_fixation_duration_ms,avg_blink_duration_ms,avg_saccade_amplitude
NDARAA306NT2,R8,ThePresent,available,1029,500.0,60.02346829465958,130,0,42,E8,E25,E21,E17,False,False,False,False,320,234,0.0038312359091985885,36.05789396816596,167.1404179768628,0.0010637830422048425,0.7297019252154479,6000,0.9973819125862582,655,0.005279858412618866,5.924753192802116,0.005489227903945225,22.0,0.00581481506155559,0.0039006020845372353,20643.0,0.004395719747400253,2,203.278002,6.861178292183467e-11,6.861178292183467e-11,0,2,1.0000000000000002,0.007038999999919174,1221,208,30.74426954919507,253.29827432250295,206.8984050280777,2.4988779688779688
NDARAA504CRN,R8,ThePresent,available,204,500.0,60.01873886540199,130,0,42,E8,E25,E21,E17,False,False,False,False,275,217,0.013985798642923064,-129.6893454062796,454.52704509130274,-0.0014095383221723154,0.8718044454845575,6000,0.9271212616957435,1782,0.018544819763515567,5.490795801594137,0.019452080557125155,24.0,0.02731058255003649,0.010825978136748817,-11382.0,0.017089721466675492,2,203.275993,1.6653345369377348e-12,1.6653345369377348e-12,0,0,1.0,0.008827999999996833,1509,33,30.352888399682456,218.15202566965203,367.5568323755859,1.5293174287607685
NDARAB055BPR,R6,ThePresent,available,68,500.0,60.02333977244192,130,0,42,E8,E25,E21,E17,False,False,False,False,187,222,1.1343478099578731e-06,-52.69404956972983,1229.7366578214398,1.8592055142778118e-06,0.91592730537575,6000,0.9350952373484719,4820,3.3552894817993053e-06,2.6716760661380516,3.8406444820903245e-06,-16733.0,1.7272137102973007e-06,3.835141421216812e-06,-16636.0,3.503592592589411e-08,2,203.074002,4.8960835385969403e-11,4.8960835385969403e-11,0,2,1.0000000000000002,0.0032780000000123756,1494,15,24.600524428114532,245.0859179577202,189.9243179348303,1.187797858099063
NDARAB348EWR,R6,ThePresent,available,971,500.0,60.02334378271085,130,0,42,E8,E25,E21,E17,False,False,False,False,189,214,0.13842804203711595,1980.3785388682122,359.3932264525844,0.06731480606477666,0.8677881234840474,6000,0.991329444507691,1409,-0.001271207433806607,5.5752073113454985,0.7664319684661643,-26554.0,0.8088002942921728,0.327338164536896,9072.0,0.5264081566197891,2,203.06400699999998,3.8413716652030416e-11,3.8413716652030416e-11,0,2,1.0000000000000002,0.005741999999951354,1046,173,32.890415261691516,290.47442542138583,227.07542246734485,6.042026768642448
NDARAB514MAJ,R8,ThePresent,available,12533,500.0,60.02361343896327,130,0,38,E8,E25,E21,E17,False,False,False,False,183,223,0.0,-3000.0,266.6666666666667,0.0,,6000,,523,0.0,,,,,,,,2,203.28599499999999,3.419486915845482e-11,3.419486915845482e-11,0,2,1.0000000000000004,0.005429999999987585,0,0,,,,
NDARAB674LNB,R10,ThePresent,available,14,500.0,30.00326254004783,130,0,42,E8,E25,E21,E17,False,False,False,False,68,223,0.007162489483506373,5.422443048783431,197.56454765204256,0.005411985152627281,0.7952228433252421,6000,0.9993131287177354,774,0.012981303220568539,3.819584934526641,0.013475850612934472,28.0,0.008967397686950943,0.008667663073957011,-14630.0,0.0035942050842001586,2,203.075994,6.583622536027178e-11,6.583622536027178e-11,0,0,0.9999999999999997,-0.011757000000045774,1114,6,45.807854778141376,317.5228158045488,199.98380949197013,1.5632226211849192
NDARAB678VYW,R11,ThePresent,available,2130,500.0,59.96525364167446,130,0,42,E8,E25,E21,E17,False,False,False,False,134,227,0.0050197657021133985,-97.5373967961099,620.762477534159,0.009404259812653302,0.7626699786581281,6000,0.9886611666800129,2434,0.016137472853778003,2.4925596528311367,0.028965316174769815,-48503.0,0.018748877172725588,0.02801764702927842,-42977.0,0.019132097947977857,2,203.064003,3.219646771412954e-11,3.219646771412954e-11,2,2,0.9999999999999996,-0.0010399999999635002,1200,390,110.69347296918997,102.42066265337816,231.79575428427225,14.843266666666665
NDARAB793GL3,R2,ThePresent,available,275,500.0,118.724020113028,130,0,34,E8,E25,E21,E17,False,False,False,False,0,245,0.01093488737977066,1241.576028261367,538.6527392324685,-0.0012423940505054772,0.708774543942516,6000,0.99123029895916,2112,-0.001183664965229017,3.171280619959979,0.010259897460206155,1280.0,0.017744480595774624,0.009195028337592928,-13363.0,0.019896284641565412,2,203.070002,3.108624468950438e-11,3.108624468950438e-11,2,2,1.0000000000000004,-6.000000035345037e-06,2017,101,29.51183430775739,173.1247557625149,167.5855062012192,3.3349380267724342
NDARAC349YUC,R4,ThePresent,available,88,500.0,60.02327705494224,130,0,42,E8,E25,E21,E17,False,False,False,False,130,239,0.00018320188496088907,-116.48058530036006,350.14735113993584,-0.0002576603829789091,0.9426894546986151,6000,0.978639081768403,1372,-4.4871967760823936e-05,0.8275543892967246,6.662889032385838e-05,31858.0,0.0002725778887784626,6.596808633490666e-05,31887.0,1.584931538943968e-09,2,203.074005,8.171241461241152e-11,8.171241461241152e-11,2,2,1.0000000000000002,0.0008110000000494316,1046,17,25.230376161225426,354.58754236199144,169.54924219341808,1.2991586998087954
NDARAC350BZ0,R4,ThePresent,available,2931,500.0,59.95551803705217,130,0,42,E8,E25,E21,E17,False,False,False,False,130,227,0.007928130901166756,-3409.5111725019506,818.3706507238235,0.0018787953751128398,0.9627700602912097,6000,0.9959208000526786,1195,0.003529248282134775,3.6767276122240413,0.011631378406630602,-3858.0,0.0126253982086768,0.007384838611196945,-10906.0,0.008203554536293433,2,203.063999,1.1757261830780408e-10,1.1757261830780408e-10,0,2,1.0000000000000002,0.0033660000000928555,341,393,182.9197880589824,100.33936924649383,403.75165424791686,32.924340175953084
NDARAC350XUM,R5,ThePresent,available,3401,500.0,17.0229832198104,130,0,34,E8,E25,E21,E17,False,False,False,False,0,220,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-0.00012748484995489753,3.86256573074627,0.0016880362576598106,-10827.0,0.0015752854389012225,0.001649472774633533,-10719.0,4.342011341212102e-06,2,203.07,5.639932965095795e-11,5.639932965095795e-11,0,0,1.0,0.017169000000055976,0,4,,,103068.46783887435,
NDARAC462DZH,R7,ThePresent,available,216,500.0,60.013745254252456,130,0,42,E8,E25,E21,E17,False,False,False,False,226,225,0.0032104002125898303,-14.869402771185266,286.9121650066777,-0.0005925864161384253,0.8352784750157801,6000,0.9872312806076081,1125,0.0031176609081793346,4.036956580842209,0.0058298544112505065,20831.0,0.009242370982078855,0.0058245908756420555,20900.0,4.868683840554382e-06,2,203.06200299999998,2.120525977034049e-11,2.120525977034049e-11,0,2,1.0,0.004126999999985996,1068,30,32.46349898754414,327.5591569497355,331.54654716203896,4.481610486891387
NDARAC589YMB,R9,ThePresent,available,129,500.0,30.00327364719468,130,0,42,E8,E25,E21,E17,False,False,False,False,17,243,0.013757852231679203,63.42460998653665,449.9165135642795,-0.007799557003396274,0.7696305987899111,6000,0.8431607041394319,1764,0.009971271013156837,1.3163118645882164,0.010599500415713226,27.0,0.04617268490807554,0.009389316733659761,20708.0,0.04288735853572388,2,203.27400300000002,5.473399511402022e-11,5.473399511402022e-11,2,2,0.9999999999999997,-0.0003679999999184265,1304,43,49.66368660492569,245.62022955080104,332.5315106491687,1.498351226993865
NDARAC853CR6,R9,ThePresent,available,101,500.0,30.003239355694504,130,0,42,E8,E25,E21,E17,False,False,False,False,78,221,0.008889792810489058,14.918859628880135,179.46848712429676,0.0028777344857462157,0.830988340533782,6000,0.9993408077375159,703,0.012012498180087462,6.560000519097844,0.01648676376547538,-10714.0,0.016801913798239417,0.012473735392315168,29.0,0.014824768025157892,2,203.276,4.274358644806853e-11,4.274358644806853e-11,0,0,0.9999999999999994,-0.011722999999999567,1133,36,49.100415635981655,292.90134477935277,287.0239493920035,1.7435392762577229
NDARAC857HDB,R5,ThePresent,available,1609,500.0,59.994440351235355,130,0,42,E8,E25,E21,E17,False,False,False,False,194,240,0.001711571926387787,-1647.0233278017242,367.2812869107113,-0.000539096118810199,0.6807053878492105,6000,0.9611259418665442,1439,-0.00014004792648836164,2.6527955318342933,0.002234872718736074,-20818.0,0.0032313757779616065,0.002119268389181105,24006.0,0.005136671343941249,2,203.074006,6.072919944699606e-11,6.072919944699606e-11,0,2,1.0,-0.006635000000064646,1092,66,27.73679330377673,289.93170351188496,846.8564317621722,2.1682600732600736
NDARAD224CRB,R6,ThePresent,available,91,500.0,60.02331554521294,130,0,42,E8,E25,E21,E17,False,False,False,False,169,241,0.0020886647301947216,12.178091481502225,182.5785729263175,-2.2781677784550603e-06,0.7248335850364002,6000,0.9977846079841171,716,0.002205240565364746,4.74657779039926,0.0023078314205571934,28.0,0.0030685099335350688,0.0020652873391224643,-6938.0,0.002658521576687421,2,203.074007,4.9404924595819466e-11,4.9404924595819466e-11,2,2,1.0000000000000004,-0.00036599999998707545,1413,16,25.07978620691819,259.84879453061245,198.88377726508483,1.149992922859165
NDARAD269FZD,R10,ThePresent,available,266,500.0,30.003149534669674,130,0,42,E8,E25,E21,E17,False,False,False,False,89,206,0.005187237844361324,-1.4600092048286724,209.89417769964962,0.0005917942358888472,0.6869589146143573,6000,0.9989666647233773,822,0.006085721606029484,4.400887796006411,0.006162267842313428,15.0,0.006218538413356137,0.003319509471852679,-41983.0,0.002323572247888521,2,203.066002,5.184741524999481e-11,5.184741524999481e-11,0,0,1.0000000000000002,0.016208999999924666,886,98,44.12878839119631,362.5381327850222,206.78657878268274,1.4634650112866818
NDARAD571FLB,R8,ThePresent,available,59,500.0,60.02338620797348,130,0,42,E8,E25,E21,E17,False,False,False,False,138,243,0.0021011278573759033,14.4872354183963,465.5415532877058,0.00046613738192101444,0.9759987386801162,6000,0.9953257853914692,1824,0.002915049724997314,7.764715044096353,0.0029744777017233206,28.0,0.002815843976897316,0.0017140903239631295,-14359.0,0.001418636068614064,2,203.066003,5.184741524999481e-11,5.184741524999481e-11,0,2,1.0,-0.006177000000046949,871,14,21.940906261644713,435.67683263636667,124.95038471893209,1.2199770378874855
